index,char,confidence,source
588,弾,CONFIRMED,manual_ocr
589,断,CONFIRMED,manual_ocr
590,男,CONFIRMED,manual_ocr
591,談,CONFIRMED,manual_ocr
592,値,CONFIRMED,manual_ocr
593,知,CONFIRMED,manual_ocr
594,地,CONFIRMED,manual_ocr
595,置,CONFIRMED,manual_ocr
596,蓄,CONFIRMED,manual_ocr
597,茶,CONFIRMED,manual_ocr
598,着,CONFIRMED,manual_ocr
599,中,CONFIRMED,manual_ocr
600,仲,CONFIRMED,manual_ocr
601,忠,CONFIRMED,manual_ocr
602,昼,CONFIRMED,manual_ocr
603,注,CONFIRMED,manual_ocr
604,朝,CONFIRMED,manual_ocr
605,町,CONFIRMED,manual_ocr
606,調,CONFIRMED,manual_ocr
607,超,CONFIRMED,manual_ocr
608,長,CONFIRMED,manual_ocr
609,頂,CONFIRMED,manual_ocr
610,鳥,CONFIRMED,manual_ocr
611,直,CONFIRMED,manual_ocr
612,追,CONFIRMED,manual_ocr
613,痛,CONFIRMED,manual_ocr
614,通,CONFIRMED,manual_ocr
615,偵,CONFIRMED,manual_ocr
616,定,CONFIRMED,manual_ocr
617,底,CONFIRMED,manual_ocr
618,抵,CONFIRMED,manual_ocr
619,敵,CONFIRMED,manual_ocr
620,的,CONFIRMED,manual_ocr
621,笛,CONFIRMED,manual_ocr
622,天,CONFIRMED,manual_ocr
623,店,CONFIRMED,manual_ocr
624,転,CONFIRMED,manual_ocr
625,点,CONFIRMED,manual_ocr
626,伝,CONFIRMED,manual_ocr
627,殿,CONFIRMED,manual_ocr
628,電,CONFIRMED,manual_ocr
629,途,CONFIRMED,manual_ocr
630,度,CONFIRMED,manual_ocr
631,土,CONFIRMED,manual_ocr
632,怒,CONFIRMED,manual_ocr
633,倒,CONFIRMED,manual_ocr
634,冬,CONFIRMED,manual_ocr
635,塔,CONFIRMED,manual_ocr
636,島,CONFIRMED,manual_ocr
637,投,CONFIRMED,manual_ocr
638,東,CONFIRMED,manual_ocr
639,当,CONFIRMED,manual_ocr
640,逃,CONFIRMED,manual_ocr
641,透,CONFIRMED,manual_ocr
642,頭,CONFIRMED,manual_ocr
643,闘,CONFIRMED,manual_ocr
644,動,CONFIRMED,manual_ocr
645,同,CONFIRMED,manual_ocr
646,導,CONFIRMED,manual_ocr
647,洞,CONFIRMED,manual_ocr
648,瞳,CONFIRMED,manual_ocr
649,道,CONFIRMED,manual_ocr
650,峠,CONFIRMED,manual_ocr
651,得,CONFIRMED,manual_ocr
652,特,CONFIRMED,manual_ocr
653,毒,CONFIRMED,manual_ocr
654,独,CONFIRMED,manual_ocr
655,読,CONFIRMED,manual_ocr
656,突,CONFIRMED,manual_ocr
657,内,CONFIRMED,manual_ocr
658,難,CONFIRMED,manual_ocr
659,南,CONFIRMED,manual_ocr
660,肉,CONFIRMED,manual_ocr
661,虹,CONFIRMED,manual_ocr
662,日,CONFIRMED,manual_ocr
663,入,CONFIRMED,manual_ocr
664,認,CONFIRMED,manual_ocr
665,年,CONFIRMED,manual_ocr
666,念,CONFIRMED,manual_ocr
667,能,CONFIRMED,manual_ocr
668,波,CONFIRMED,manual_ocr
669,破,CONFIRMED,manual_ocr
670,杯,CONFIRMED,manual_ocr
671,配,CONFIRMED,manual_ocr
672,倍,CONFIRMED,manual_ocr
673,買,CONFIRMED,manual_ocr
674,売,CONFIRMED,manual_ocr
